"category","model","service","price"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone Air","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 16 Plus","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 16e","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 16 Pro Max","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 16 Pro","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 16","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 15 Pro","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 15 Pro Max","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 15 Plus","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 15","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 14 Pro Max","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 14 Pro","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 14 Plus","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 14","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 13 Pro","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 13 Pro Max","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 13 mini","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 13","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
"","","Замена разъема зарядки","3 290 ₽"
"","","Замена динамика","3 090 ₽"
"","","Замена микрофона","3 290 ₽"
"","","Замена задней камеры","5 590 ₽"
"","","Восстановление после попадания влаги","от 5 690 ₽"
"","","Замена стекла камеры","2 290 ₽"
"","","Обновление ПО","890 ₽"
"","","Перенос данных","890 ₽"
"","","Активация и настройка Apple ID","690 ₽"
"","","Замена передней камеры","3 090 ₽"
"","","Замена кнопок громкости","3 090 ₽"
"","","Замена кнопки включения","3 090 ₽"
"","","Замена кнопки переключения вибро","3 090 ₽"
"","","Замена антенны","2 890 ₽"
"","","Замена датчика приближения","3 490 ₽"
"","","Замена вибромотора","2 890 ₽"
"","","Ремонт материнской платы","Цена по запросу"
"","","Программный ремонт","890 ₽"
"","","Замена контроллера питания","Цена по запросу"
"","","Ремонт FACE ID","Цена по запросу"
"","","Сброс пароля","890 ₽"
"","","Замена Wi-Fi модуля","Цена по запросу"
"iPhone","iPhone 12 Pro Max","Диагностика","Бесплатно"
"","","Замена аккумулятора","4 290 ₽"
"","","Замена стекла","5 390 ₽"
"","","Замена экрана","6 290 ₽"
"","","Гидрогелевая защита","1 290 ₽"
"","","Замена задней крышки","5 290 ₽"
"","","Чистка динамика, микрофонов от пыли","590 ₽"
"","","Замена корпуса","5 290 ₽"
